# Report generated by CountTreeEntries
# Input: reducedv7
# Tree : M
# Columns: <path>	<status>	<entries>
reducedv7/037.root	OK	497993
reducedv7/060.root	OK	10442
reducedv7/015.root	OK	21388
reducedv7/016.root	OK	16994
reducedv7/017.root	OK	2401
reducedv7/018.root	OK	157496
reducedv7/019.root	OK	697690
reducedv7/020.root	OK	464703
reducedv7/021.root	OK	0
reducedv7/022.root	OK	0
reducedv7/023.root	OK	0
reducedv7/024.root	OK	501770
reducedv7/025.root	OK	0
reducedv7/026.root	OK	219656
reducedv7/027.root	OK	106741
reducedv7/029.root	OK	67087
reducedv7/032.root	OK	100538
reducedv7/033.root	OK	314941
reducedv7/034.root	OK	371538
reducedv7/035.root	OK	719934
reducedv7/036.root	OK	825189
reducedv7/038.root	OK	436433
reducedv7/039.root	OK	21059
reducedv7/043.root	OK	55863
reducedv7/044.root	OK	32913
reducedv7/045.root	OK	22089
reducedv7/046.root	OK	20629
reducedv7/047.root	OK	7624
reducedv7/048.root	OK	36913
reducedv7/049.root	OK	18419
reducedv7/050.root	OK	32872
reducedv7/051.root	OK	222368
reducedv7/052.root	OK	226654
reducedv7/053.root	OK	215251
reducedv7/054.root	OK	68789
reducedv7/055.root	OK	125960
reducedv7/056.root	OK	183310
reducedv7/057.root	OK	187090
reducedv7/058.root	OK	0
reducedv7/059.root	OK	152318
reducedv7/061.root	OK	41177
reducedv7/063.root	OK	82620
reducedv7/064.root	OK	15899
reducedv7/065.root	OK	0
reducedv7/066.root	OK	0
reducedv7/068.root	OK	2109
reducedv7/069.root	OK	0
reducedv7/070.root	OK	0
reducedv7/071.root	OK	0
reducedv7/072.root	OK	0
reducedv7/073.root	OK	164830
reducedv7/074.root	OK	0
reducedv7/075.root	OK	46542
reducedv7/076.root	OK	0
reducedv7/077.root	OK	11784
reducedv7/078.root	OK	336336
reducedv7/079.root	OK	0
reducedv7/080.root	OK	0
reducedv7/081.root	OK	3103
reducedv7/082.root	OK	10336
reducedv7/083.root	OK	0
reducedv7/084.root	OK	0
reducedv7/086.root	OK	32069
reducedv7/087.root	OK	0
reducedv7/088.root	OK	211399
reducedv7/089.root	OK	0
reducedv7/090.root	OK	171505
reducedv7/091.root	OK	0
reducedv7/092.root	OK	0
reducedv7/093.root	OK	0
reducedv7/094.root	OK	22051
reducedv7/095.root	OK	0
reducedv7/096.root	OK	6337
reducedv7/097.root	OK	0
reducedv7/098.root	OK	770697
reducedv7/099.root	OK	3606
# --- Summary ---
# files_total       = 76
# files_ok          = 76
# files_open_failed = 0
# files_no_tree     = 0
# entries_sum       = 9095455
