#RunN,Or,target,time(s),time(h),time eval(s),time eval(h),charge integrator (µC),charge Faraday (µC)
23,N,CH2,9420,2.62,-1,-1,0,42000
24,N,CH2,1260,0.35,-1,-1,0,4873
25,N,CH2,5820,1.62,-1,-1,0,14023
26,N,CH2,12000,3.33,-1,-1,0,108564
27,N,CH2,13020,3.62,-1,-1,0,176894
28,N,CH2,42780,11.88,-1,-1,0,580759
29,N,Fe-thick (#2),2940,0.82,-1,-1,0,35100
30,N,Fe-thick (#2),420,0.12,-1,-1,0,5718
31,N,Fe-thick (#2),5460,1.52,5194,1.4,0,70927
32,N,Fe-thick (#2),4260,1.18,48,0,0,12450
33,N,Fe-thick (#2),1500,0.42,4,0,0,6057
34,N,Fe-thick (#2),60480,16.8,7171,2,0,299305
35,N,C(#25),11880,3.3,-1,-1,0,60385
36,N,C(#25),6480,1.8,-1,-1,0,65184
37,N,C(#25),8940,2.48,-1,-1,0,88614
38,N,C(#25),6720,1.87,-1,-1,0,68910
39,N,C(#25),43500,12.08,-1,-1,0,196352
40,N,Fe-thick (#13),30660,8.52,-1,-1,0,232269
41,N,Fe-thick (#13),56340,15.65,44276,12.3,0,364818
42,N,Fe-thick (#13),15900,4.42,-1,-1,0,124221
43,N,Fe-thick (#13),81780,22.72,-1,-1,0,602729
44,N,Fe-thick (#13),18840,5.23,-1,-1,0,145447
47,N,Fe-thick (#13),29520,8.2,29307,8.1,0,239478
48,N,Fe-thick (#13),180,0.05,2045,0.6,0,162
49,N,Fe-thick (#13),2160,0.6,2194,0.6,0,17339
50,N,Fe-thick (#13),2220,0.62,7389,2.1,0,18083
51,N,Fe-thick (#13),7500,2.08,-1,-1,0,61047
56,N,CH2,1980,0.55,-1,-1,0,1412
57,N,CH2,19740,5.48,-1,-1,0,44779
58,N,CH2,38220,10.62,-1,-1,0,174198
59,N,CH2,3300,0.92,-1,-1,0,26497
60,N,CH2,12360,3.43,-1,-1,0,105910
61,N,CH2,13920,3.87,-1,-1,0,119410
62,N,CH2,54060,15.02,-1,-1,0,412301
63,N,dummy,1320,0.37,-1,-1,0,1519
300,N,Cr-thick-fw,8880,2.47,-1,-1,108,2662
301,N,Cr-thick-fw,7620,2.12,-1,-1,24168,44238
302,N,Cr-thick-fw,2940,0.82,-1,-1,71931,68746
303,N,Cr-thick-fw,15840,4.4,-1,-1,497101,467529
304,N,Cr-thick-fw,14040,3.9,14018,3.9,449200,420749
