#EN,#E,#ANG,#DATA,#ERR-S
#MEV,MEV,ADEG,MB/SR/MEV,MB/SR/MEV
27.4,3.6,15.0,1.17,0.15
27.4,7.6,15.0,1.20,0.20
27.4,9.6,15.0,1.22,0.25
27.4,11.6,15.0,0.77,0.23
27.4,13.6,15.0,1.02,0.24
27.4,15.6,15.0,0.00,0.07
27.4,3.7,20.0,0.60,0.13
27.4,7.7,20.0,1.46,0.17
27.4,9.7,20.0,0.91,0.18
27.4,11.7,20.0,0.79,0.20
27.4,13.7,20.0,1.26,0.14
27.4,4.8,35.0,0.39,0.11
27.4,6.8,35.0,0.36,0.09
27.4,8.8,35.0,0.74,0.22
27.4,10.8,35.0,0.53,0.22
27.4,12.8,35.0,1.35,0.26
27.4,4.5,40.0,0.74,0.11
27.4,6.5,40.0,0.18,0.10
27.4,8.5,40.0,0.80,0.14
27.4,10.5,40.0,0.04,0.03
27.4,4.4,45.0,1.17,0.14
27.4,6.4,45.0,1.05,0.18
27.4,8.4,45.0,0.71,0.18
27.4,8.2,65.0,0.62,0.12
27.4,10.2,65.0,0.39,0.08
27.4,12.2,65.0,0.22,0.15
27.4,7.2,90.0,0.25,0.11
27.4,9.2,90.0,-0.01,0.18
27.4,11.2,90.0,0.21,0.05
27.4,7.7,130.0,0.10,0.12
27.4,9.7,130.0,0.33,0.19
27.4,6.9,150.0,-0.03,0.24
27.4,8.9,150.0,-0.03,0.36
39.7,4.1,15.0,1.71,0.14
39.7,8.1,15.0,0.65,0.20
39.7,10.1,15.0,0.69,0.21
39.7,12.1,15.0,0.85,0.18
39.7,14.1,15.0,1.30,0.23
39.7,16.1,15.0,1.36,0.21
39.7,18.1,15.0,1.19,0.22
39.7,20.1,15.0,1.02,0.22
39.7,22.1,15.0,1.52,0.19
39.7,24.1,15.0,0.64,0.21
39.7,26.1,15.0,0.95,0.23
39.7,28.1,15.0,0.76,0.16
39.7,4.2,20.0,1.15,0.16
39.7,10.2,20.0,0.84,0.16
39.7,12.2,20.0,0.73,0.18
39.7,14.2,20.0,0.85,0.20
39.7,16.2,20.0,1.09,0.20
39.7,18.2,20.0,1.41,0.21
39.7,20.2,20.0,1.10,0.19
39.7,22.2,20.0,1.12,0.20
39.7,24.2,20.0,0.84,0.14
39.7,26.2,20.0,0.63,0.18
39.7,3.1,35.0,0.93,0.15
39.7,7.1,35.0,0.64,0.13
39.7,9.1,35.0,0.66,0.13
39.7,11.1,35.0,0.46,0.13
39.7,13.1,35.0,0.87,0.12
39.7,15.1,35.0,0.53,0.16
39.7,17.1,35.0,0.96,0.13
39.7,19.1,35.0,0.93,0.15
39.7,2.3,40.0,0.54,0.10
39.7,6.3,40.0,0.70,0.17
39.7,8.3,40.0,0.28,0.12
39.7,10.3,40.0,0.36,0.14
39.7,12.3,40.0,0.47,0.13
39.7,14.3,40.0,0.46,0.14
39.7,5.4,45.0,0.85,0.15
39.7,7.4,45.0,0.64,0.17
39.7,9.4,45.0,0.57,0.12
39.7,11.4,45.0,0.40,0.16
39.7,11.0,65.0,0.27,0.11
39.7,13.0,65.0,0.33,0.10
39.7,15.0,65.0,0.28,0.11
39.7,17.0,65.0,0.19,0.10
39.7,19.0,65.0,0.30,0.13
39.7,21.0,65.0,0.45,0.10
39.7,23.0,65.0,0.21,0.08
39.7,2.8,90.0,0.49,0.09
39.7,12.8,90.0,0.03,0.08
39.7,14.8,90.0,0.11,0.10
39.7,16.8,90.0,0.13,0.05
39.7,18.8,90.0,0.08,0.04
39.7,20.8,90.0,0.17,0.06
39.7,22.8,90.0,0.04,0.04
39.7,2.8,130.0,0.43,0.16
39.7,10.8,130.0,0.26,0.07
39.7,12.8,130.0,0.14,0.11
39.7,14.8,130.0,0.09,0.10
39.7,16.8,130.0,-0.09,0.14
39.7,18.8,130.0,-0.05,0.09
39.7,2.8,150.0,0.62,0.08
39.7,10.8,150.0,0.33,0.12
39.7,12.8,150.0,0.10,0.10
39.7,14.8,150.0,0.19,0.11
39.7,16.8,150.0,-0.05,0.12
60.7,4.7,15.0,0.61,0.11
60.7,6.7,15.0,0.48,0.15
60.7,10.7,15.0,0.85,0.15
60.7,12.7,15.0,0.38,0.20
60.7,14.7,15.0,1.03,0.19
60.7,16.7,15.0,0.51,0.20
60.7,18.7,15.0,0.78,0.20
60.7,20.7,15.0,0.96,0.21
60.7,22.7,15.0,0.73,0.21
60.7,24.7,15.0,1.05,0.20
60.7,26.7,15.0,0.98,0.21
60.7,28.7,15.0,1.28,0.20
60.7,30.7,15.0,0.77,0.20
60.7,32.7,15.0,1.07,0.20
60.7,34.7,15.0,1.05,0.19
60.7,36.7,15.0,1.01,0.18
60.7,38.7,15.0,1.94,0.18
60.7,40.7,15.0,1.57,0.16
60.7,42.7,15.0,1.56,0.16
60.7,44.7,15.0,0.98,0.16
60.7,46.7,15.0,1.41,0.15
60.7,4.7,20.0,0.80,0.09
60.7,6.7,20.0,0.76,0.09
60.7,10.7,20.0,0.64,0.12
60.7,12.7,20.0,0.83,0.13
60.7,14.7,20.0,0.41,0.16
60.7,16.7,20.0,0.88,0.15
60.7,18.7,20.0,0.88,0.15
60.7,20.7,20.0,1.27,0.16
60.7,22.7,20.0,0.82,0.17
60.7,24.7,20.0,0.75,0.16
60.7,26.7,20.0,0.93,0.16
60.7,28.7,20.0,1.16,0.15
60.7,30.7,20.0,0.92,0.15
60.7,32.7,20.0,0.92,0.16
60.7,34.7,20.0,0.80,0.15
60.7,36.7,20.0,1.08,0.14
60.7,38.7,20.0,1.51,0.14
60.7,40.7,20.0,1.43,0.14
60.7,42.7,20.0,1.57,0.14
60.7,3.8,35.0,0.91,0.07
60.7,7.8,35.0,1.04,0.10
60.7,9.8,35.0,0.52,0.11
60.7,11.8,35.0,0.74,0.10
60.7,13.8,35.0,0.51,0.12
60.7,15.8,35.0,0.65,0.11
60.7,17.8,35.0,0.55,0.11
60.7,19.8,35.0,0.46,0.13
60.7,21.8,35.0,0.52,0.12
60.7,23.8,35.0,0.45,0.12
60.7,25.8,35.0,0.46,0.12
60.7,27.8,35.0,0.58,0.13
60.7,29.8,35.0,0.59,0.14
60.7,3.4,40.0,0.66,0.06
60.7,7.4,40.0,0.50,0.10
60.7,9.4,40.0,0.31,0.12
60.7,11.4,40.0,0.51,0.11
60.7,13.4,40.0,0.48,0.10
60.7,15.4,40.0,0.43,0.11
