#RUN	DAY	month	hour	minute	DAY	month	hour	minute	Charge (µC)
23	26	9	10	1	26	9	12	38	41980.1
24	26	9	12	39	26	9	13	0	4873.25
25	26	9	13	1	26	9	14	37	13720.6
26	26	9	15	12	26	9	18	32	108563
27	26	9	18	32	26	9	22	9	176848
28	26	9	22	10	27	9	10	3	580630
29	28	9	10	33	28	9	11	21	15211.2
30	27	9	12	9	27	9	12	16	5718.35
31	27	9	12	18	27	9	13	48	70095.9
32	27	9	15	7	27	9	16	18	12385.2
33	27	9	16	27	27	9	16	51	5801.68
34	27	9	17	11	28	9	9	58	298951
35	28	9	10	37	28	9	13	54	60046.4
36	28	9	14	23	28	9	16	12	65183
37	28	9	16	12	28	9	18	41	88606.3
38	28	9	18	46	28	9	20	38	68910.2
39	28	9	20	39	29	9	8	44	195502
40	29	9	12	3	29	9	20	10	218452
41	29	9	20	10	30	9	11	49	364569
42	29	9	11	49	29	9	16	14	112814
43	29	9	16	14	30	9	14	58	566689
44	1	10	14	59	1	10	20	0	145447
47	1	10	20	52	2	10	5	3	239152
48	2	10	5	5	2	10	5	8	159.789
49	2	10	5	10	2	10	5	45	16855.5
50	2	10	5	53	2	10	6	30	18082.8
51	2	10	6	41	2	10	8	45	60562.3
52	2	10	15	54	2	10	16	55	-19.118
53	2	10	17	51	2	10	17	57	-1.308
54	2	10	18	0	3	10	11	32	0.035
55	3	10	11	25	4	10	9	39	3018.19
56	4	10	16	49	4	10	17	22	1410.43
57	4	10	17	38	4	10	23	7	44765.8
58	4	10	23	8	5	10	9	44	173672
59	5	10	9	45	5	10	10	46	26494.3
60	5	10	10	51	5	10	14	17	105910
61	5	10	14	38	5	10	18	31	119410
62	5	10	18	33	6	10	9	33	411764
63	6	10	13	28	6	10	13	50	1519.28
300	6	10	13	52	6	10	16	21	2653.59
301	6	10	17	12	6	10	19	19	44235.9
302	6	10	19	22	6	10	20	10	67724.3
303	6	10	20	11	7	10	0	35	467525
304	7	10	0	36	7	10	4	30	420748
305	7	10	4	31	7	10	7	56	345114
306	7	10	9	5	7	10	10	30	138578
307	7	10	10	30	7	10	11	0	27324.8
308	7	10	11	7	7	10	17	15	701994
309	7	10	17	36	7	10	18	12	71668.3
310	7	10	19	31	7	10	23	37	463120
311	8	10	0	43	8	10	5	47	515479
312	8	10	8	36	8	10	17	16	936752
313	8	10	17	17	8	10	19	41	263754
314	8	10	19	52	9	10	0	48	529702
315	9	10	0	50	9	10	3	30	291545
316	9	10	3	30	9	10	5	20	157805
317	9	10	20	49	9	10	20	53	7404.17
319	10	10	13	18	10	10	13	49	144.81
320	10	10	15	16	10	10	17	33	2580.91
321	10	10	18	23	10	10	18	31	13499.9
322	10	10	18	32	10	10	22	34	407360
323	10	10	22	48	11	10	1	30	262329
324	11	10	1	31	11	10	4	1	239719
325	11	10	4	1	11	10	7	0	283830
326	11	10	7	3	11	10	13	9	522418
327	11	10	13	15	11	10	14	10	101104
328	11	10	14	18	11	10	14	27	16844.4
333	11	10	16	26	11	10	20	33	475404
334	11	10	20	34	12	10	1	55	606167
335	11	10	1	56	11	10	5	19	320538
336	11	10	5	20	11	10	7	57	240660
337	11	10	7	58	11	10	10	55	267857
338	12	10	10	58	12	10	11	55	74890.4
339	12	10	11	59	12	10	15	22	362035
340	12	10	15	53	12	10	19	57	487599
341	12	10	19	58	12	10	23	56	475238
342	13	10	0	13	13	10	2	32	208937
343	13	10	3	2	13	10	7	26	513488
344	13	10	7	27	13	10	9	59	290339
345	13	10	10	1	13	10	10	8	13718.6
346	13	10	10	10	13	10	10	30	39100
347	13	10	10	36	13	10	11	13	69376.9
