E	Xs54	E	xs56	E	xs57	E	xs58
2.00E-01	5.83E-11	2.00E-01	3.52E-12	2.00E-01	4.27E-12	1.00E-01	2.26E-29
3.00E-01	3.10E-07	3.00E-01	8.15E-08	3.00E-01	5.01E-08	2.00E-01	1.77E-19
4.00E-01	2.01E-06	4.00E-01	2.86E-07	4.00E-01	1.83E-07	3.00E-01	2.54E-09
5.00E-01	6.34E-06	5.00E-01	3.78E-06	5.00E-01	4.62E-07	4.00E-01	9.19E-09
6.00E-01	5.32E-05	6.00E-01	2.49E-05	6.00E-01	3.26E-06	5.00E-01	5.02E-08
7.00E-01	2.56E-03	7.00E-01	2.22E-04	7.00E-01	2.14E-04	6.00E-01	5.44E-07
8.00E-01	1.18E-02	8.00E-01	1.84E-03	8.00E-01	2.04E-03	7.00E-01	1.44E-05
9.00E-01	7.55E-02	9.00E-01	6.70E-03	9.00E-01	5.74E-03	8.00E-01	3.75E-05
1.00E+00	1.66E-01	1.00E+00	2.28E-02	1.00E+00	1.99E-02	9.00E-01	7.75E-05
1.10E+00	3.73E-01	1.10E+00	6.01E-02	1.10E+00	5.19E-02	1.00E+00	1.59E-04
1.20E+00	9.42E-01	1.20E+00	1.19E-01	1.20E+00	9.30E-02	1.10E+00	5.76E-04
1.30E+00	1.47E+00	1.30E+00	2.17E-01	1.30E+00	1.59E-01	1.20E+00	1.39E-03
1.40E+00	1.97E+00	1.40E+00	3.47E-01	1.40E+00	2.62E-01	1.30E+00	2.53E-03
1.50E+00	2.54E+00	1.50E+00	4.75E-01	1.50E+00	3.72E-01	1.40E+00	4.13E-03
1.60E+00	3.12E+00	1.60E+00	6.22E-01	1.60E+00	4.78E-01	1.50E+00	7.61E-03
1.70E+00	3.77E+00	1.70E+00	7.48E-01	1.70E+00	6.08E-01	1.60E+00	1.45E-02
1.80E+00	4.36E+00	1.80E+00	8.47E-01	1.80E+00	7.37E-01	1.70E+00	2.28E-02
1.90E+00	4.92E+00	1.90E+00	9.20E-01	1.90E+00	8.16E-01	1.80E+00	3.27E-02
2.00E+00	5.39E+00	2.00E+00	9.37E-01	2.00E+00	8.09E-01	1.90E+00	4.69E-02
2.20E+00	6.22E+00	2.20E+00	9.35E-01	2.20E+00	7.29E-01	2.00E+00	7.41E-02
2.40E+00	7.07E+00	2.40E+00	9.64E-01	2.40E+00	6.68E-01	2.20E+00	1.34E-01
2.60E+00	7.91E+00	2.60E+00	1.04E+00	2.60E+00	7.29E-01	2.40E+00	2.27E-01
